GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_PORTAL;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. do Item da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. do Item da Receita; Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Item Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Subitem da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao item de receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Subitem da Receita;Subitem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Subitem Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. do Subitem da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. do Subitem da Receita;Subitem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Subitem Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Tipo de Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Identifica o tipo de arrecadação a que se refere a receita. Exemplo, receita de multas e juros, arrecadação principal e etc.;Receita-classificação a partir de 2018;;armazém SIAFI;Tipo de Receita;Tipo Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Tipo de Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. do Tipo de Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. do Tipo de Receita;Origem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Tipo de Receita (0 a 99)
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Órgão;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Entidade da administração direta, inclusive fundo ou órgão autônomo e da administração indireta a que o orçamento consigna dotações especificas para realização de seus programas de trabalho.;Receita-classificação a partir de 2018;;armazém SIAFI;Órgão;Unidade Orçamentária - nome;Unidade Orçamentária;Nome completo da unidade orçamentária
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Valor Previsto Inicial;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Valor estimado da arrecadação para o ano consultado, previsto na Lei Orçamentária Anual (LOA).;Receita classificação até 2017;;armazém SIAFI;Valor Previsto Inicial;Valor Previsto Inicial;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da previsão inicial da receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Valor Previsto Atualizado;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Valor estimado inicial para arrecadação no ano consultado, previsto na Lei Orçamentária Anual, atualizado ao longo do ano.;Receita classificação até 2017;;armazém SIAFI;Valor Previsto Atualizado;Valor Previsto Atualizado;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da previsão atualizada da receita, resultante da expressão: Valor previsto inicial + Valor previsto adicional
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Valor Arrecadado;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Valor financeiro que entrou nos cofres públicos no período consultado.;Receita classificação até 2017;;armazém SIAFI;Valor Arrecadado;Valor Efetivado Ajustado;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da receita orçamentária efetivada ajustada
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;% Arrecadado;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Relação entre o valor arrecadado e o valor previsto inicial.;Receita classificação até 2017;;#NA;% Arrecadado;CAMPO DISPONÍVEL APENAS NO PORTAL ;;
